dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
155.358,675.2,7.6,298.5,13.6,281.0,13.1
155.368,675.4,1.9,282.3,15.5,281.0,15.0
155.379,675.6,1.9,273.1,18.3,281.0,18.0
155.389,676.0,3.8,271.5,19.5,275.1,19.4
155.403,677.2,9.1,287.7,17.9,281.0,17.8
155.413,678.4,12.0,305.6,14.1,281.0,13.7
155.425,680.0,13.3,320.0,10.5,281.0,9.4
155.436,680.4,3.6,292.7,11.9,281.0,11.0
155.446,681.2,7.8,295.9,14.6,281.0,14.1
155.456,681.6,3.9,286.6,15.3,281.0,14.8
155.468,681.8,1.7,273.8,17.7,281.0,17.5
155.479,682.4,5.7,277.0,18.8,281.0,18.7
155.491,683.4,8.1,287.7,17.3,281.0,17.2
155.501,684.0,5.8,287.1,16.1,281.0,16.0
155.513,684.2,1.8,274.8,17.6,281.0,17.4
155.530,685.2,5.6,279.2,18.4,281.0,18.4
155.542,685.6,3.5,274.9,18.4,281.0,18.5
155.553,686.0,3.5,271.8,19.3,273.5,19.4
155.565,687.0,8.2,284.0,18.3,281.0,18.3
155.576,688.0,9.0,294.6,15.7,281.0,15.6
155.588,689.2,10.0,304.9,13.4,281.0,12.9
155.617,691.4,7.6,299.7,12.9,281.0,12.2
155.627,692.0,5.9,293.6,14.1,281.0,13.5
155.638,692.4,3.8,284.7,15.7,281.0,15.2
155.650,693.0,5.0,282.8,17.0,281.0,16.6
155.661,693.6,5.2,282.3,17.2,281.0,17.0
155.672,694.2,5.4,282.3,17.3,281.0,17.1
155.683,694.8,5.4,282.5,17.2,281.0,17.1
155.696,695.2,3.3,275.9,18.0,281.0,17.9
155.711,696.4,7.8,287.9,17.4,281.0,17.3
155.723,697.4,8.4,295.6,15.2,281.0,14.9
155.734,698.4,8.7,300.5,13.8,281.0,13.2
155.745,698.8,3.9,288.4,14.6,281.0,14.0
155.757,699.2,3.3,279.3,16.9,281.0,16.6
155.768,700.2,9.3,291.8,16.5,281.0,16.2
155.778,700.8,5.7,289.2,15.5,281.0,15.1
155.790,701.4,5.4,286.6,16.0,281.0,15.7
155.802,701.8,3.1,277.7,17.3,281.0,17.1
155.815,702.4,4.6,276.9,18.4,281.0,18.3
155.828,703.6,9.7,293.1,16.7,281.0,16.5
155.838,704.6,9.7,301.9,13.9,281.0,13.5
155.852,705.6,7.1,297.7,13.4,281.0,12.7
155.863,706.6,9.1,302.7,13.3,281.0,12.5
155.875,707.4,6.8,297.3,13.3,281.0,12.6
155.887,708.2,6.8,295.1,14.2,281.0,13.5
155.903,709.2,6.1,291.2,14.9,281.0,14.3
155.922,710.4,6.3,290.1,15.4,281.0,14.9
155.938,711.4,6.4,290.3,15.5,281.0,15.1
155.949,711.6,1.7,276.1,17.1,281.0,16.8
155.961,712.0,3.4,272.3,19.1,277.6,18.9
155.973,712.2,1.7,264.9,20.3,256.9,20.2
155.984,712.4,1.8,260.1,21.7,245.9,21.5
156.009,712.6,0.8,250.7,23.5,227.0,23.1
156.025,714.4,11.8,280.5,21.3,281.0,20.6
156.036,715.8,12.4,303.9,15.1,281.0,14.2
156.047,716.2,3.5,288.1,14.2,281.0,13.4
156.060,716.8,4.7,283.7,16.5,281.0,16.0
156.072,717.8,8.4,293.0,15.9,281.0,15.5
156.084,718.2,3.2,281.5,16.2,281.0,15.8
156.095,718.4,1.9,272.2,18.5,277.7,18.3
156.106,718.8,3.6,270.4,19.7,271.6,19.6
156.116,719.0,1.9,264.9,20.5,256.8,20.4
156.127,719.2,1.9,260.5,21.6,246.7,21.4
156.139,720.4,9.6,279.5,20.0,281.0,19.8
156.150,720.8,3.9,276.4,18.2,281.0,18.1
156.161,721.4,5.5,278.5,18.4,281.0,18.3
156.174,722.0,4.5,277.1,18.3,281.0,18.3
156.220,725.0,6.5,286.4,17.1,281.0,17.0
156.233,726.0,7.8,294.5,15.2,281.0,14.8
156.245,727.2,10.1,304.9,13.4,281.0,12.7
156.255,727.8,5.8,295.8,13.3,281.0,12.5
156.267,728.2,3.5,284.6,15.5,281.0,15.0
156.277,728.6,4.0,280.1,17.3,281.0,17.0
156.287,729.2,5.6,281.5,17.6,281.0,17.4
156.299,730.0,6.9,286.6,16.9,281.0,16.7
156.311,730.6,4.8,283.1,16.7,281.0,16.5
156.335,732.4,7.6,291.8,15.9,281.0,15.6
156.346,733.8,12.8,313.2,12.6,281.0,11.7
156.357,734.8,9.6,309.1,10.9,281.0,9.8
156.367,735.2,3.9,292.0,13.2,281.0,12.5
156.379,735.6,3.3,281.5,16.3,281.0,15.9
156.391,737.0,12.0,303.8,15.0,281.0,14.4
156.401,738.0,9.8,307.3,12.1,281.0,11.2
156.412,739.2,10.3,310.1,11.4,281.0,10.4
156.423,740.0,7.4,301.9,12.0,281.0,11.1
156.440,741.4,8.1,301.0,13.0,281.0,12.2
156.451,742.4,9.4,305.0,12.7,281.0,11.8
156.461,743.2,7.9,302.1,12.6,281.0,11.7
